run_tag,case,case_number,weather_year,season,allocation,slurm_job_name,relative_path,demand_md5,size_mb
genx__env__prox__hold__static,p19,19,2011,Spring,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model.",cem_1wk_dispatch,genx__env__prox__hold__static/p19,3070a2d4aadfb340f32d878be768e264,9.5
genx__env__prox__hold__static,p20,20,2012,Spring,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model.",cem_1wk_dispatch,genx__env__prox__hold__static/p20,3070a2d4aadfb340f32d878be768e264,9.5
genx__env__prox__hold__static,p26,26,2011,Fall,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model.",cem_1wk_dispatch,genx__env__prox__hold__static/p26,f1844de6566f028dd15225c59564245f,9.5
genx__env__prox__hold__static,p27,27,2012,Fall,"ENVELOPE HOLD (minimum intervention). Re-splits only the load the control places on buses we have substations for, among those same buses, weighted by the substations' own max-load envelopes; every other bus keeps its control value. Uses no ReEDS input and no projection model.",cem_1wk_dispatch,genx__env__prox__hold__static/p27,f1844de6566f028dd15225c59564245f,9.5
genx__reedsco__catch__aratio__monthhour,p5,5,2011,Summer,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: transportation-LP CATCHMENTS -- every candidate bus is assigned to a substation and load returns to the catchment, so every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__catch__aratio__monthhour/p5,4595217d368e2af556a69338645cc6e7,9.5
genx__reedsco__catch__aratio__monthhour,p6,6,2012,Summer,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: transportation-LP CATCHMENTS -- every candidate bus is assigned to a substation and load returns to the catchment, so every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__catch__aratio__monthhour/p6,4595217d368e2af556a69338645cc6e7,9.5
genx__reedsco__catch__aratio__monthhour,p12,12,2011,Winter,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: transportation-LP CATCHMENTS -- every candidate bus is assigned to a substation and load returns to the catchment, so every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__catch__aratio__monthhour/p12,aed2d3de6d384de01ffc739847806fa5,9.5
genx__reedsco__catch__aratio__monthhour,p13,13,2012,Winter,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: transportation-LP CATCHMENTS -- every candidate bus is assigned to a substation and load returns to the catchment, so every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__catch__aratio__monthhour/p13,aed2d3de6d384de01ffc739847806fa5,9.5
genx__reedsco__catch__aratio__monthhour,p19,19,2011,Spring,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: transportation-LP CATCHMENTS -- every candidate bus is assigned to a substation and load returns to the catchment, so every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__catch__aratio__monthhour/p19,3d8f6fd96a19e43a0b899b91ae6166b5,9.5
genx__reedsco__catch__aratio__monthhour,p20,20,2012,Spring,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: transportation-LP CATCHMENTS -- every candidate bus is assigned to a substation and load returns to the catchment, so every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__catch__aratio__monthhour/p20,3d8f6fd96a19e43a0b899b91ae6166b5,9.5
genx__reedsco__catch__aratio__monthhour,p26,26,2011,Fall,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: transportation-LP CATCHMENTS -- every candidate bus is assigned to a substation and load returns to the catchment, so every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__catch__aratio__monthhour/p26,1fd1f7dcbf2b4d00f426251c50fc022c,9.5
genx__reedsco__catch__aratio__monthhour,p27,27,2012,Fall,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: transportation-LP CATCHMENTS -- every candidate bus is assigned to a substation and load returns to the catchment, so every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__catch__aratio__monthhour/p27,1fd1f7dcbf2b4d00f426251c50fc022c,9.5
genx__reedsco__namecatch__aratio__monthhour,p5,5,2011,Summer,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: identity matches forced, LP catchments for the rest; every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__namecatch__aratio__monthhour/p5,99b5c01282d969b050fec3d86f1c04b8,9.5
genx__reedsco__namecatch__aratio__monthhour,p6,6,2012,Summer,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: identity matches forced, LP catchments for the rest; every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__namecatch__aratio__monthhour/p6,99b5c01282d969b050fec3d86f1c04b8,9.5
genx__reedsco__namecatch__aratio__monthhour,p12,12,2011,Winter,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: identity matches forced, LP catchments for the rest; every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__namecatch__aratio__monthhour/p12,3559022d7f7db5bb832a60cb3f635d17,9.5
genx__reedsco__namecatch__aratio__monthhour,p13,13,2012,Winter,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: identity matches forced, LP catchments for the rest; every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__namecatch__aratio__monthhour/p13,3559022d7f7db5bb832a60cb3f635d17,9.5
genx__reedsco__namecatch__aratio__monthhour,p19,19,2011,Spring,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: identity matches forced, LP catchments for the rest; every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__namecatch__aratio__monthhour/p19,a381b8b92082260a6db518fcae05b34f,9.5
genx__reedsco__namecatch__aratio__monthhour,p20,20,2012,Spring,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: identity matches forced, LP catchments for the rest; every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__namecatch__aratio__monthhour/p20,a381b8b92082260a6db518fcae05b34f,9.5
genx__reedsco__namecatch__aratio__monthhour,p26,26,2011,Fall,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: identity matches forced, LP catchments for the rest; every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__namecatch__aratio__monthhour/p26,5c25b634cf6dbe19e1a4249f57eacc08,9.5
genx__reedsco__namecatch__aratio__monthhour,p27,27,2012,Fall,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: identity matches forced, LP catchments for the rest; every candidate bus stays loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__namecatch__aratio__monthhour/p27,5c25b634cf6dbe19e1a4249f57eacc08,9.5
genx__reedsco__nameprox__aratio__monthhour,p5,5,2011,Summer,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: CEC-lineage IDENTITY match first (the bus built from the substation's own CEC record), proximity for the remainder. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__nameprox__aratio__monthhour/p5,fa1763742e3cc16f0c643127ba4d6d9f,9.5
genx__reedsco__nameprox__aratio__monthhour,p6,6,2012,Summer,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: CEC-lineage IDENTITY match first (the bus built from the substation's own CEC record), proximity for the remainder. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__nameprox__aratio__monthhour/p6,fa1763742e3cc16f0c643127ba4d6d9f,9.5
genx__reedsco__nameprox__aratio__monthhour,p12,12,2011,Winter,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: CEC-lineage IDENTITY match first (the bus built from the substation's own CEC record), proximity for the remainder. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__nameprox__aratio__monthhour/p12,9fa67f418babb372b0ce7585e712e13e,9.4
genx__reedsco__nameprox__aratio__monthhour,p13,13,2012,Winter,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: CEC-lineage IDENTITY match first (the bus built from the substation's own CEC record), proximity for the remainder. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__nameprox__aratio__monthhour/p13,9fa67f418babb372b0ce7585e712e13e,9.4
genx__reedsco__nameprox__aratio__monthhour,p19,19,2011,Spring,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: CEC-lineage IDENTITY match first (the bus built from the substation's own CEC record), proximity for the remainder. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__nameprox__aratio__monthhour/p19,61b80e5e68501da1ef1893163376b825,9.4
genx__reedsco__nameprox__aratio__monthhour,p20,20,2012,Spring,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: CEC-lineage IDENTITY match first (the bus built from the substation's own CEC record), proximity for the remainder. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__nameprox__aratio__monthhour/p20,61b80e5e68501da1ef1893163376b825,9.5
genx__reedsco__nameprox__aratio__monthhour,p26,26,2011,Fall,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: CEC-lineage IDENTITY match first (the bus built from the substation's own CEC record), proximity for the remainder. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__nameprox__aratio__monthhour/p26,e9f65ef0f48defe5debd1384e2684f35,9.5
genx__reedsco__nameprox__aratio__monthhour,p27,27,2012,Fall,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Substation->bus map: CEC-lineage IDENTITY match first (the bus built from the substation's own CEC record), proximity for the remainder. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__nameprox__aratio__monthhour/p27,e9f65ef0f48defe5debd1384e2684f35,9.5
genx__reedsco__prox__a0__monthhour,p5,5,2011,Summer,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__prox__a0__monthhour/p5,1b8cb145ade5e77acba0758295a93824,9.5
genx__reedsco__prox__a0__monthhour,p6,6,2012,Summer,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__prox__a0__monthhour/p6,1b8cb145ade5e77acba0758295a93824,9.5
genx__reedsco__prox__a0__monthhour,p12,12,2011,Winter,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__prox__a0__monthhour/p12,c6ffceac483aae3c37d2036c6ec74c9c,9.5
genx__reedsco__prox__a0__monthhour,p13,13,2012,Winter,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__prox__a0__monthhour/p13,c6ffceac483aae3c37d2036c6ec74c9c,9.5
genx__reedsco__prox__a0__monthhour,p19,19,2011,Spring,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__prox__a0__monthhour/p19,296fc88a07335d0bcf8308aaba99fdf6,9.5
genx__reedsco__prox__a0__monthhour,p20,20,2012,Spring,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__prox__a0__monthhour/p20,296fc88a07335d0bcf8308aaba99fdf6,9.5
genx__reedsco__prox__a0__monthhour,p26,26,2011,Fall,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__prox__a0__monthhour/p26,c2c54db16d66fdad73174889b83416a0,9.5
genx__reedsco__prox__a0__monthhour,p27,27,2012,Fall,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__prox__a0__monthhour/p27,c2c54db16d66fdad73174889b83416a0,9.5
genx__reedsco__prox__a0__static,p5,5,2011,Summer,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing.",cem_1wk_dispatch,genx__reedsco__prox__a0__static/p5,f9b2a5d6fa5b7437fa540b9e37682d8a,9.5
genx__reedsco__prox__a0__static,p6,6,2012,Summer,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing.",cem_1wk_dispatch,genx__reedsco__prox__a0__static/p6,f9b2a5d6fa5b7437fa540b9e37682d8a,9.5
genx__reedsco__prox__a0__static,p12,12,2011,Winter,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing.",cem_1wk_dispatch,genx__reedsco__prox__a0__static/p12,31f2b999c7fed3f34eee0a732c31c91f,9.5
genx__reedsco__prox__a0__static,p13,13,2012,Winter,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing.",cem_1wk_dispatch,genx__reedsco__prox__a0__static/p13,31f2b999c7fed3f34eee0a732c31c91f,9.5
genx__reedsco__prox__a0__static,p19,19,2011,Spring,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing.",cem_1wk_dispatch,genx__reedsco__prox__a0__static/p19,7cd37d03abde6859319b5058701c25d9,9.5
genx__reedsco__prox__a0__static,p20,20,2012,Spring,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing.",cem_1wk_dispatch,genx__reedsco__prox__a0__static/p20,7cd37d03abde6859319b5058701c25d9,9.5
genx__reedsco__prox__a0__static,p26,26,2011,Fall,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing.",cem_1wk_dispatch,genx__reedsco__prox__a0__static/p26,6f9a53d30f6dab5551e64b1c9c868299,9.5
genx__reedsco__prox__a0__static,p27,27,2012,Fall,"ReEDS county-first, Method 2 (alpha = 0). Whole county energy goes to its substation buses by max-load envelope; uncovered buses get nothing.",cem_1wk_dispatch,genx__reedsco__prox__a0__static/p27,6f9a53d30f6dab5551e64b1c9c868299,9.5
genx__reedsco__prox__aratio__monthhour,p5,5,2011,Summer,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__prox__aratio__monthhour/p5,f9142c0a651dcde5feefa76f9d897012,9.5
genx__reedsco__prox__aratio__monthhour,p6,6,2012,Summer,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__prox__aratio__monthhour/p6,f9142c0a651dcde5feefa76f9d897012,9.5
genx__reedsco__prox__aratio__monthhour,p12,12,2011,Winter,"ReEDS county-first, Method 1 (alpha = u/n). County gets its ReEDS share of statewide energy; uncovered buses take the equal share an even split would give them, substation buses split their remainder by max-load envelope. Every candidate bus loaded. Weights resolved per (month, hour) cell, so a bus's share follows its own diurnal/seasonal shape through the week.",cem_1wk_dispatch,genx__reedsco__prox__aratio__monthhour/p12,afb4dc0a8e3a58988bd8cc65d9c20dfd,9.4
